"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Achaak",33,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Achaak",31,1998,"Calibration","full","Santomera","Santomera.1998"
"Almond","Achaak",22,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Achaak",31,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Achaak",26,2017,"Calibration","full","Santomera","Santomera.2017"
"Almond","Achaak",28,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Achaak",30,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Achaak",28,1997,"Calibration","full","Santomera","Santomera.1997"
"Almond","Achaak",18,2013,"Calibration","full","Santomera","Santomera.2013"
"Almond","Achaak",29,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Desmayo",20,2020,"Calibration","full","Santomera","Santomera.2020"
"Almond","Desmayo",31,1998,"Calibration","full","Santomera","Santomera.1998"
"Almond","Desmayo",36,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Desmayo",28,2016,"Calibration","full","Santomera","Santomera.2016"
"Almond","Desmayo",31,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Desmayo",30,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Desmayo",21,2013,"Calibration","full","Santomera","Santomera.2013"
"Almond","Desmayo",34,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Desmayo",31,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Desmayo",29,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Desmayo",30,2005,"Calibration","full","Santomera","Santomera.2005"
"Almond","Desmayo",36,2003,"Calibration","full","Santomera","Santomera.2003"
"Almond","Desmayo",40,2010,"Calibration","full","Santomera","Santomera.2010"
"Almond","Desmayo",24,2014,"Calibration","full","Santomera","Santomera.2014"
"Almond","Desmayo",22,2004,"Calibration","full","Santomera","Santomera.2004"
"Almond","Fasciuneddu",76,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Fasciuneddu",49,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Fasciuneddu",54,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Fasciuneddu",64,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Fasciuneddu",42,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Fasciuneddu",51,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Fasciuneddu",46,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Fasciuneddu",42,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Fasciuneddu",42,2015,"Calibration","full","Sfax","Sfax.2015"
"Almond","Fasciuneddu",51,2006,"Calibration","full","Sfax","Sfax.2006"
"Almond","Fasciuneddu",47,1991,"Calibration","full","Sfax","Sfax.1991"
"Almond","Fasciuneddu",49,1986,"Calibration","full","Sfax","Sfax.1986"
"Almond","Fasciuneddu",46,1998,"Calibration","full","Sfax","Sfax.1998"
"Almond","Fasciuneddu",45,1996,"Calibration","full","Sfax","Sfax.1996"
"Almond","Fasciuneddu",44,2008,"Calibration","full","Sfax","Sfax.2008"
"Almond","Fasciuneddu",41,2014,"Calibration","full","Sfax","Sfax.2014"
"Almond","Ferragnes",57,1978,"Calibration","full","Meknes","Meknes.1978"
"Almond","Ferragnes",55,1992,"Calibration","full","Meknes","Meknes.1992"
"Almond","Ferragnes",64,1998,"Calibration","full","Meknes","Meknes.1998"
"Almond","Ferragnes",61,1988,"Calibration","full","Meknes","Meknes.1988"
"Almond","Ferragnes",62,2008,"Calibration","full","Meknes","Meknes.2008"
"Almond","Ferragnes",69,1985,"Calibration","full","Meknes","Meknes.1985"
"Almond","Ferragnes",63,2011,"Calibration","full","Meknes","Meknes.2011"
"Almond","Ferragnes",68,1986,"Calibration","full","Meknes","Meknes.1986"
"Almond","Ferragnes",59,2002,"Calibration","full","Meknes","Meknes.2002"
"Almond","Ferragnes",61,1997,"Calibration","full","Meknes","Meknes.1997"
"Almond","Ferragnes",62,2004,"Calibration","full","Meknes","Meknes.2004"
"Almond","Ferragnes",59,1979,"Calibration","full","Meknes","Meknes.1979"
"Almond","Ferragnes",76,1984,"Calibration","full","Meknes","Meknes.1984"
"Almond","Ferragnes",69,1999,"Calibration","full","Meknes","Meknes.1999"
"Almond","Ferragnes",60,1991,"Calibration","full","Meknes","Meknes.1991"
"Almond","Ferragnes",63,1993,"Calibration","full","Meknes","Meknes.1993"
"Almond","Ferragnes",61,1994,"Calibration","full","Meknes","Meknes.1994"
"Almond","Ferragnes",72,2012,"Calibration","full","Meknes","Meknes.2012"
"Almond","Ferragnes",69,2007,"Calibration","full","Meknes","Meknes.2007"
"Almond","Ferragnes",61,2003,"Calibration","full","Meknes","Meknes.2003"
"Almond","Ferragnes",61,1989,"Calibration","full","Meknes","Meknes.1989"
"Almond","Ferragnes",61,2014,"Calibration","full","Meknes","Meknes.2014"
"Almond","Ferragnes",61,1990,"Calibration","full","Meknes","Meknes.1990"
"Almond","Ferragnes",64,2010,"Calibration","full","Meknes","Meknes.2010"
"Almond","Ferragnes",60,1982,"Calibration","full","Meknes","Meknes.1982"
"Almond","Ferragnes",60,2005,"Calibration","full","Meknes","Meknes.2005"
"Almond","Ferragnes",61,1983,"Calibration","full","Meknes","Meknes.1983"
"Almond","Ferragnes",63,1996,"Calibration","full","Meknes","Meknes.1996"
"Almond","Marcona",41,1978,"Calibration","full","Meknes","Meknes.1978"
"Almond","Marcona",46,1992,"Calibration","full","Meknes","Meknes.1992"
"Almond","Marcona",59,1998,"Calibration","full","Meknes","Meknes.1998"
"Almond","Marcona",46,1988,"Calibration","full","Meknes","Meknes.1988"
"Almond","Marcona",43,2008,"Calibration","full","Meknes","Meknes.2008"
"Almond","Marcona",53,1985,"Calibration","full","Meknes","Meknes.1985"
"Almond","Marcona",46,2011,"Calibration","full","Meknes","Meknes.2011"
"Almond","Marcona",60,1986,"Calibration","full","Meknes","Meknes.1986"
"Almond","Marcona",41,2002,"Calibration","full","Meknes","Meknes.2002"
"Almond","Marcona",56,1997,"Calibration","full","Meknes","Meknes.1997"
"Almond","Marcona",46,2004,"Calibration","full","Meknes","Meknes.2004"
"Almond","Marcona",43,1979,"Calibration","full","Meknes","Meknes.1979"
"Almond","Marcona",64,1984,"Calibration","full","Meknes","Meknes.1984"
"Almond","Marcona",64,1999,"Calibration","full","Meknes","Meknes.1999"
"Almond","Marcona",51,1991,"Calibration","full","Meknes","Meknes.1991"
"Almond","Marcona",63,1993,"Calibration","full","Meknes","Meknes.1993"
"Almond","Marcona",60,1994,"Calibration","full","Meknes","Meknes.1994"
"Almond","Marcona",51,2012,"Calibration","full","Meknes","Meknes.2012"
"Almond","Marcona",56,2007,"Calibration","full","Meknes","Meknes.2007"
"Almond","Marcona",43,2003,"Calibration","full","Meknes","Meknes.2003"
"Almond","Marcona",53,1989,"Calibration","full","Meknes","Meknes.1989"
"Almond","Marcona",47,2014,"Calibration","full","Meknes","Meknes.2014"
"Almond","Marcona",51,1990,"Calibration","full","Meknes","Meknes.1990"
"Almond","Marcona",48,2010,"Calibration","full","Meknes","Meknes.2010"
"Almond","Marcona",49,1982,"Calibration","full","Meknes","Meknes.1982"
"Almond","Marcona",44,2005,"Calibration","full","Meknes","Meknes.2005"
"Almond","Marcona",50,1983,"Calibration","full","Meknes","Meknes.1983"
"Almond","Marcona",62,1996,"Calibration","full","Meknes","Meknes.1996"
"Almond","Marta",40,2008,"Calibration","full","Santomera","Santomera.2008"
"Almond","Marta",56,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Marta",50,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Marta",51,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Marta",58,2010,"Calibration","full","Santomera","Santomera.2010"
"Almond","Marta",56,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Marta",41,2021,"Calibration","full","Santomera","Santomera.2021"
"Almond","Marta",48,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Marta",57,2005,"Calibration","full","Santomera","Santomera.2005"
"Almond","Marta",62,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Mazzetto",80,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Mazzetto",67,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Mazzetto",75,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Mazzetto",78,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Mazzetto",60,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Mazzetto",66,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Mazzetto",61,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Mazzetto",57,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Mazzetto",63,2015,"Calibration","full","Sfax","Sfax.2015"
"Almond","Mazzetto",65,2006,"Calibration","full","Sfax","Sfax.2006"
"Almond","Mazzetto",64,1991,"Calibration","full","Sfax","Sfax.1991"
"Almond","Mazzetto",63,1986,"Calibration","full","Sfax","Sfax.1986"
"Almond","Mazzetto",70,1998,"Calibration","full","Sfax","Sfax.1998"
"Almond","Mazzetto",73,1996,"Calibration","full","Sfax","Sfax.1996"
"Almond","Mazzetto",61,2008,"Calibration","full","Sfax","Sfax.2008"
"Almond","Mazzetto",57,2014,"Calibration","full","Sfax","Sfax.2014"
"Almond","Nonpareil",76,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Nonpareil",65,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Nonpareil",73,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Nonpareil",78,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Nonpareil",57,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Nonpareil",62,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Nonpareil",60,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Nonpareil",62,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Nonpareil",43,2014,"Calibration","full","Sfax","Sfax.2014"
"Almond","Nonpareil",59,2008,"Calibration","full","Sfax","Sfax.2008"
"Almond","Nonpareil",60,1991,"Calibration","full","Sfax","Sfax.1991"
"Almond","Nonpareil",56,1986,"Calibration","full","Sfax","Sfax.1986"
"Almond","Nonpareil",58,1998,"Calibration","full","Sfax","Sfax.1998"
"Almond","Nonpareil",53,1996,"Calibration","full","Sfax","Sfax.1996"
"Almond","Nonpareil",67,2012,"Calibration","full","Sfax","Sfax.2012"
"Almond","Nonpareil",65,2016,"Calibration","full","Sfax","Sfax.2016"
"Almond","Nonpareil",52,1987,"Calibration","full","Sfax","Sfax.1987"
"Almond","Tuono",56,1975,"Calibration","full","Meknes","Meknes.1975"
"Almond","Tuono",58,2012,"Calibration","full","Meknes","Meknes.2012"
"Almond","Tuono",62,1989,"Calibration","full","Meknes","Meknes.1989"
"Almond","Tuono",64,1995,"Calibration","full","Meknes","Meknes.1995"
"Almond","Tuono",56,1985,"Calibration","full","Meknes","Meknes.1985"
"Almond","Tuono",59,2005,"Calibration","full","Meknes","Meknes.2005"
"Almond","Tuono",61,1982,"Calibration","full","Meknes","Meknes.1982"
"Almond","Tuono",64,1983,"Calibration","full","Meknes","Meknes.1983"
"Almond","Tuono",73,1999,"Calibration","full","Meknes","Meknes.1999"
"Almond","Tuono",63,1994,"Calibration","full","Meknes","Meknes.1994"
"Almond","Tuono",59,2001,"Calibration","full","Meknes","Meknes.2001"
"Almond","Tuono",65,1976,"Calibration","full","Meknes","Meknes.1976"
"Almond","Tuono",59,1981,"Calibration","full","Meknes","Meknes.1981"
"Almond","Tuono",66,1996,"Calibration","full","Meknes","Meknes.1996"
"Almond","Tuono",62,1988,"Calibration","full","Meknes","Meknes.1988"
"Almond","Tuono",65,1990,"Calibration","full","Meknes","Meknes.1990"
"Almond","Tuono",65,1991,"Calibration","full","Meknes","Meknes.1991"
"Almond","Tuono",62,2003,"Calibration","full","Meknes","Meknes.2003"
"Almond","Tuono",63,2011,"Calibration","full","Meknes","Meknes.2011"
"Almond","Tuono",62,2008,"Calibration","full","Meknes","Meknes.2008"
"Almond","Tuono",56,2000,"Calibration","full","Meknes","Meknes.2000"
"Almond","Tuono",65,1986,"Calibration","full","Meknes","Meknes.1986"
"Almond","Tuono",60,2006,"Calibration","full","Meknes","Meknes.2006"
"Almond","Tuono",60,1987,"Calibration","full","Meknes","Meknes.1987"
"Almond","Tuono",52,1980,"Calibration","full","Meknes","Meknes.1980"
"Almond","Tuono",69,1998,"Calibration","full","Meknes","Meknes.1998"
"Almond","Tuono",60,2010,"Calibration","full","Meknes","Meknes.2010"
"Almond","Tuono",60,2002,"Calibration","full","Meknes","Meknes.2002"
"Almond","Tuono",63,1997,"Calibration","full","Meknes","Meknes.1997"
"Almond","Tuono",78,1984,"Calibration","full","Meknes","Meknes.1984"
"Almond","Achaak",33,2007,"Calibration","scarce","Santomera","Santomera.2007"
"Almond","Achaak",31,1998,"Calibration","scarce","Santomera","Santomera.1998"
"Almond","Achaak",22,2012,"Calibration","scarce","Santomera","Santomera.2012"
"Almond","Achaak",31,2011,"Calibration","scarce","Santomera","Santomera.2011"
"Almond","Achaak",26,2017,"Calibration","scarce","Santomera","Santomera.2017"
"Almond","Achaak",28,2019,"Calibration","scarce","Santomera","Santomera.2019"
"Almond","Achaak",30,2006,"Calibration","scarce","Santomera","Santomera.2006"
"Almond","Achaak",28,1997,"Calibration","scarce","Santomera","Santomera.1997"
"Almond","Achaak",18,2013,"Calibration","scarce","Santomera","Santomera.2013"
"Almond","Achaak",29,2018,"Calibration","scarce","Santomera","Santomera.2018"
"Almond","Desmayo",20,2020,"Calibration","scarce","Santomera","Santomera.2020"
"Almond","Desmayo",31,1998,"Calibration","scarce","Santomera","Santomera.1998"
"Almond","Desmayo",36,2007,"Calibration","scarce","Santomera","Santomera.2007"
"Almond","Desmayo",28,2016,"Calibration","scarce","Santomera","Santomera.2016"
"Almond","Desmayo",31,2011,"Calibration","scarce","Santomera","Santomera.2011"
"Almond","Desmayo",30,2012,"Calibration","scarce","Santomera","Santomera.2012"
"Almond","Desmayo",21,2013,"Calibration","scarce","Santomera","Santomera.2013"
"Almond","Desmayo",34,2006,"Calibration","scarce","Santomera","Santomera.2006"
"Almond","Desmayo",31,2019,"Calibration","scarce","Santomera","Santomera.2019"
"Almond","Desmayo",29,2018,"Calibration","scarce","Santomera","Santomera.2018"
"Almond","Fasciuneddu",76,2013,"Calibration","scarce","Sfax","Sfax.2013"
"Almond","Fasciuneddu",49,1982,"Calibration","scarce","Sfax","Sfax.1982"
"Almond","Fasciuneddu",54,1993,"Calibration","scarce","Sfax","Sfax.1993"
"Almond","Fasciuneddu",64,2005,"Calibration","scarce","Sfax","Sfax.2005"
"Almond","Fasciuneddu",42,1999,"Calibration","scarce","Sfax","Sfax.1999"
"Almond","Fasciuneddu",51,2001,"Calibration","scarce","Sfax","Sfax.2001"
"Almond","Fasciuneddu",46,2002,"Calibration","scarce","Sfax","Sfax.2002"
"Almond","Fasciuneddu",42,1992,"Calibration","scarce","Sfax","Sfax.1992"
"Almond","Fasciuneddu",42,2015,"Calibration","scarce","Sfax","Sfax.2015"
"Almond","Fasciuneddu",51,2006,"Calibration","scarce","Sfax","Sfax.2006"
"Almond","Ferragnes",57,1978,"Calibration","scarce","Meknes","Meknes.1978"
"Almond","Ferragnes",55,1992,"Calibration","scarce","Meknes","Meknes.1992"
"Almond","Ferragnes",64,1998,"Calibration","scarce","Meknes","Meknes.1998"
"Almond","Ferragnes",61,1988,"Calibration","scarce","Meknes","Meknes.1988"
"Almond","Ferragnes",62,2008,"Calibration","scarce","Meknes","Meknes.2008"
"Almond","Ferragnes",69,1985,"Calibration","scarce","Meknes","Meknes.1985"
"Almond","Ferragnes",63,2011,"Calibration","scarce","Meknes","Meknes.2011"
"Almond","Ferragnes",68,1986,"Calibration","scarce","Meknes","Meknes.1986"
"Almond","Ferragnes",59,2002,"Calibration","scarce","Meknes","Meknes.2002"
"Almond","Ferragnes",61,1997,"Calibration","scarce","Meknes","Meknes.1997"
"Almond","Marcona",41,1978,"Calibration","scarce","Meknes","Meknes.1978"
"Almond","Marcona",46,1992,"Calibration","scarce","Meknes","Meknes.1992"
"Almond","Marcona",59,1998,"Calibration","scarce","Meknes","Meknes.1998"
"Almond","Marcona",46,1988,"Calibration","scarce","Meknes","Meknes.1988"
"Almond","Marcona",43,2008,"Calibration","scarce","Meknes","Meknes.2008"
"Almond","Marcona",53,1985,"Calibration","scarce","Meknes","Meknes.1985"
"Almond","Marcona",46,2011,"Calibration","scarce","Meknes","Meknes.2011"
"Almond","Marcona",60,1986,"Calibration","scarce","Meknes","Meknes.1986"
"Almond","Marcona",41,2002,"Calibration","scarce","Meknes","Meknes.2002"
"Almond","Marcona",56,1997,"Calibration","scarce","Meknes","Meknes.1997"
"Almond","Marta",40,2008,"Calibration","scarce","Santomera","Santomera.2008"
"Almond","Marta",56,2006,"Calibration","scarce","Santomera","Santomera.2006"
"Almond","Marta",50,2011,"Calibration","scarce","Santomera","Santomera.2011"
"Almond","Marta",51,2018,"Calibration","scarce","Santomera","Santomera.2018"
"Almond","Marta",58,2010,"Calibration","scarce","Santomera","Santomera.2010"
"Almond","Marta",56,2019,"Calibration","scarce","Santomera","Santomera.2019"
"Almond","Marta",41,2021,"Calibration","scarce","Santomera","Santomera.2021"
"Almond","Marta",48,2007,"Calibration","scarce","Santomera","Santomera.2007"
"Almond","Marta",57,2005,"Calibration","scarce","Santomera","Santomera.2005"
"Almond","Marta",62,2012,"Calibration","scarce","Santomera","Santomera.2012"
"Almond","Mazzetto",80,2013,"Calibration","scarce","Sfax","Sfax.2013"
"Almond","Mazzetto",67,1982,"Calibration","scarce","Sfax","Sfax.1982"
"Almond","Mazzetto",75,1993,"Calibration","scarce","Sfax","Sfax.1993"
"Almond","Mazzetto",78,2005,"Calibration","scarce","Sfax","Sfax.2005"
"Almond","Mazzetto",60,1999,"Calibration","scarce","Sfax","Sfax.1999"
"Almond","Mazzetto",66,2001,"Calibration","scarce","Sfax","Sfax.2001"
"Almond","Mazzetto",61,2002,"Calibration","scarce","Sfax","Sfax.2002"
"Almond","Mazzetto",57,1992,"Calibration","scarce","Sfax","Sfax.1992"
"Almond","Mazzetto",63,2015,"Calibration","scarce","Sfax","Sfax.2015"
"Almond","Mazzetto",65,2006,"Calibration","scarce","Sfax","Sfax.2006"
"Almond","Nonpareil",76,2013,"Calibration","scarce","Sfax","Sfax.2013"
"Almond","Nonpareil",65,1982,"Calibration","scarce","Sfax","Sfax.1982"
"Almond","Nonpareil",73,1993,"Calibration","scarce","Sfax","Sfax.1993"
"Almond","Nonpareil",78,2005,"Calibration","scarce","Sfax","Sfax.2005"
"Almond","Nonpareil",57,1999,"Calibration","scarce","Sfax","Sfax.1999"
"Almond","Nonpareil",62,2001,"Calibration","scarce","Sfax","Sfax.2001"
"Almond","Nonpareil",60,2002,"Calibration","scarce","Sfax","Sfax.2002"
"Almond","Nonpareil",62,1992,"Calibration","scarce","Sfax","Sfax.1992"
"Almond","Nonpareil",43,2014,"Calibration","scarce","Sfax","Sfax.2014"
"Almond","Nonpareil",59,2008,"Calibration","scarce","Sfax","Sfax.2008"
"Almond","Tuono",56,1975,"Calibration","scarce","Meknes","Meknes.1975"
"Almond","Tuono",58,2012,"Calibration","scarce","Meknes","Meknes.2012"
"Almond","Tuono",62,1989,"Calibration","scarce","Meknes","Meknes.1989"
"Almond","Tuono",64,1995,"Calibration","scarce","Meknes","Meknes.1995"
"Almond","Tuono",56,1985,"Calibration","scarce","Meknes","Meknes.1985"
"Almond","Tuono",59,2005,"Calibration","scarce","Meknes","Meknes.2005"
"Almond","Tuono",61,1982,"Calibration","scarce","Meknes","Meknes.1982"
"Almond","Tuono",64,1983,"Calibration","scarce","Meknes","Meknes.1983"
"Almond","Tuono",73,1999,"Calibration","scarce","Meknes","Meknes.1999"
"Almond","Tuono",63,1994,"Calibration","scarce","Meknes","Meknes.1994"
"Almond","Achaak",22,2008,"Validation","scarce","Santomera","Santomera.2008"
"Almond","Achaak",18,2014,"Validation","scarce","Santomera","Santomera.2014"
"Almond","Achaak",33,2015,"Validation","scarce","Santomera","Santomera.2015"
"Almond","Desmayo",22,1997,"Validation","scarce","Santomera","Santomera.1997"
"Almond","Desmayo",36,2003,"Validation","scarce","Santomera","Santomera.2003"
"Almond","Desmayo",22,2004,"Validation","scarce","Santomera","Santomera.2004"
"Almond","Desmayo",30,2005,"Validation","scarce","Santomera","Santomera.2005"
"Almond","Desmayo",22,2008,"Validation","scarce","Santomera","Santomera.2008"
"Almond","Desmayo",26,2009,"Validation","scarce","Santomera","Santomera.2009"
"Almond","Desmayo",40,2010,"Validation","scarce","Santomera","Santomera.2010"
"Almond","Desmayo",24,2014,"Validation","scarce","Santomera","Santomera.2014"
"Almond","Desmayo",38,2015,"Validation","scarce","Santomera","Santomera.2015"
"Almond","Desmayo",30,2017,"Validation","scarce","Santomera","Santomera.2017"
"Almond","Desmayo",15,2022,"Validation","scarce","Santomera","Santomera.2022"
"Almond","Fasciuneddu",59,1981,"Validation","scarce","Sfax","Sfax.1981"
"Almond","Fasciuneddu",49,1986,"Validation","scarce","Sfax","Sfax.1986"
"Almond","Fasciuneddu",40,1987,"Validation","scarce","Sfax","Sfax.1987"
"Almond","Fasciuneddu",47,1991,"Validation","scarce","Sfax","Sfax.1991"
"Almond","Fasciuneddu",54,1995,"Validation","scarce","Sfax","Sfax.1995"
"Almond","Fasciuneddu",45,1996,"Validation","scarce","Sfax","Sfax.1996"
