"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Sweet Cherry","Burlat","Klein-Altendorf","4/8/2012",2012,99,"Calibration","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/12/1981",1981,102,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","5/4/1984",1984,125,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/27/1987",1987,117,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/20/1993",1993,110,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/26/1995",1995,116,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/14/2005",2005,104,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/26/2006",2006,116,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","4/17/2015",2015,107,"Validation","full"
"Sweet Cherry","Burlat","Klein-Altendorf","5/1/1978",1978,121,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/12/1981",1981,102,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/26/1982",1982,116,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","5/4/1984",1984,125,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","5/6/1986",1986,126,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/27/1987",1987,117,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/30/1988",1988,121,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/15/1989",1989,105,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/20/1993",1993,110,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/26/1995",1995,116,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/14/2003",2003,104,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/18/2004",2004,109,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/14/2005",2005,104,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/26/2006",2006,116,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/20/2008",2008,111,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/11/2009",2009,101,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/17/2010",2010,107,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/9/2011",2011,99,"Validation","scarce"
"Sweet Cherry","Burlat","Klein-Altendorf","4/17/2015",2015,107,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/6/2006",2006,126,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/17/2007",2007,107,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","5/4/1989",1989,124,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/8/2014",2014,98,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/23/1998",1998,113,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/28/2016",2016,119,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/2000",2000,115,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/12/2020",2020,103,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/26/2008",2008,117,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2003",2003,111,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/23/1990",1990,113,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/18/1991",1991,108,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/13/2017",2017,103,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","5/1/1992",1992,122,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/19/2018",2018,109,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/12/2011",2011,102,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/2002",2002,114,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2015",2015,111,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/1999",1999,114,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/20/2012",2012,111,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/22/2010",2010,112,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/14/1997",1997,104,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/18/2019",2019,108,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/16/2009",2009,106,"Calibration","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2003",2003,111,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/18/1991",1991,108,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/23/1990",1990,113,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/19/2018",2018,109,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/23/1998",1998,113,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/18/2019",2019,108,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/12/2020",2020,103,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/1999",1999,114,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/12/2011",2011,102,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/16/2009",2009,106,"Calibration","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/2/1988",1988,123,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/1993",1993,114,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/25/1994",1994,115,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/29/1996",1996,120,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","5/3/2001",2001,123,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2004",2004,112,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/19/2005",2005,109,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","4/30/2013",2013,120,"Validation","full"
"Sweet Cherry","Regina","Klein-Altendorf","5/2/1988",1988,123,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/4/1989",1989,124,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/1/1992",1992,122,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/1993",1993,114,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/25/1994",1994,115,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/29/1996",1996,120,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/14/1997",1997,104,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/2000",2000,115,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/3/2001",2001,123,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/24/2002",2002,114,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2004",2004,112,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/19/2005",2005,109,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","5/6/2006",2006,126,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/17/2007",2007,107,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/26/2008",2008,117,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/22/2010",2010,112,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/20/2012",2012,111,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/30/2013",2013,120,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/8/2014",2014,98,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/21/2015",2015,111,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/28/2016",2016,119,"Validation","scarce"
"Sweet Cherry","Regina","Klein-Altendorf","4/13/2017",2017,103,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/20/2015",2015,110,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/2/2006",2006,122,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/3/2001",2001,123,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/23/2000",2000,114,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/1992",1992,119,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/1991",1991,106,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/2013",2013,118,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/1990",1990,111,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/12/2017",2017,102,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/2012",2012,107,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/17/2007",2007,107,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/11/2011",2011,101,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/7/1984",1984,128,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/2002",2002,109,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/4/1988",1988,125,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2010",2010,111,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2018",2018,108,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/27/2008",2008,118,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/23/1999",1999,113,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2003",2003,108,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/22/1993",1993,112,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/1998",1998,109,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/2009",2009,106,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2005",2005,108,"Calibration","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/23/2000",2000,114,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/1992",1992,119,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/2013",2013,118,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/4/1988",1988,125,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/22/1993",1993,112,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/17/2007",2007,107,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/11/2011",2011,101,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/2012",2012,107,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/1990",1990,111,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/1991",1991,106,"Calibration","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/9/1986",1986,129,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/1987",1987,118,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/25/1989",1989,115,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/22/1994",1994,112,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2004",2004,112,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/8/2014",2014,98,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/2016",2016,119,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/13/2019",2019,103,"Validation","full"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/7/1984",1984,128,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/9/1986",1986,129,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/1987",1987,118,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/25/1989",1989,115,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/22/1994",1994,112,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/1998",1998,109,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/23/1999",1999,113,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/3/2001",2001,123,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/2002",2002,109,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2003",2003,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2004",2004,112,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2005",2005,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/2/2006",2006,122,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/27/2008",2008,118,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/2009",2009,106,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2010",2010,111,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/8/2014",2014,98,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/20/2015",2015,110,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/2016",2016,119,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/12/2017",2017,102,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2018",2018,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/13/2019",2019,103,"Validation","scarce"
